Rk,Player,Pos,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
158,Raymond Felton\feltora01,PG,82,1365,.479,.818,156,203,49,16,76,91,565
159,Terrance Ferguson\fergute01,SG,61,763,.533,.900,47,19,24,10,11,83,189
160,Yogi Ferrell\ferreyo01,SG,82,2282,.518,.796,249,201,64,9,78,153,838
161,Dorian Finney-Smith\finnedo01,PF,21,448,.463,.733,75,26,10,4,21,43,123
162,Bryn Forbes\forbebr01,SG,80,1517,.510,.667,110,80,28,2,37,108,555
163,Evan Fournier\fournev01,SF,57,1837,.538,.867,180,165,47,16,95,138,1013
164,De'Aaron Fox\foxde01,PG,73,2026,.441,.723,204,320,70,20,173,163,844
165,Tim Frazier\fraziti01,PG,59,838,.445,.767,115,194,47,7,57,97,176
166,Channing Frye\fryech01,C,53,695,.583,.895,135,38,18,13,21,69,264
166,Channing Frye\fryech01,C,44,545,.586,.933,110,28,17,12,17,54,212
166,Channing Frye\fryech01,C,9,150,.570,.750,25,10,1,1,4,15,52
167,Markelle Fultz\fultzma01,SG,14,253,.405,.476,43,53,12,4,17,22,100
168,Danilo Gallinari\gallida01,SF,21,671,.469,.931,101,41,12,10,26,30,321
169,Langston Galloway\gallola01,SG,58,863,.481,.805,92,58,35,5,18,39,360
170,Marc Gasol\gasolma01,C,73,2408,.473,.834,592,305,54,101,194,185,1258
171,Pau Gasol\gasolpa01,C,77,1812,.492,.756,619,238,24,79,108,121,775
172,Rudy Gay\gayru01,PF,57,1231,.506,.772,291,73,46,38,78,98,655
173,Paul George\georgpa01,SF,79,2891,.521,.822,447,263,161,39,212,233,1734
174,Marcus Georges-Hunt\georgma01,SG,42,224,.479,.619,16,7,6,0,3,32,59
175,Jonathan Gibson\gibsojo01,PG,4,40,.739,,3,4,0,0,3,5,34
176,Taj Gibson\gibsota01,PF,82,2726,.581,.768,584,99,62,59,89,218,999
177,Manu Ginobili\ginobma01,SG,65,1299,.503,.840,142,163,43,16,105,126,576
178,Rudy Gobert\goberru01,C,56,1816,.622,.682,601,80,44,129,107,153,756
179,Aaron Gordon\gordoaa01,PF,58,1909,.500,.698,457,136,59,45,107,111,1022
180,Eric Gordon\gordoer01,SG,69,2154,.540,.809,170,154,44,27,130,116,1243
181,Marcin Gortat\gortama01,C,82,2075,.518,.675,623,151,40,61,99,175,690
182,Treveon Graham\grahatr01,SG,63,1050,.525,.695,121,59,33,2,27,109,273
183,Jerami Grant\grantje01,PF,81,1647,.570,.675,319,57,31,77,54,155,682
184,Jerian Grant\grantje02,PG,74,1686,.476,.745,172,342,63,8,89,132,619
185,Josh Gray\grayjo01,PG,5,86,.305,.636,10,12,8,2,7,8,32
