Rk,Player,Pos,G,GS,MP,FGA,eFG%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
112,DeMarcus Cousins\couside01,C,48,48,1737,864,.530,394,.746,617,257,79,76,242,183,1210
113,Robert Covington\covinro01,SF,80,80,2532,836,.534,136,.853,433,156,137,72,126,238,1009
114,Allen Crabbe\crabbal01,SG,75,68,2197,827,.529,135,.852,324,117,47,35,78,168,990
115,Torrey Craig\craigto01,SF,39,5,629,137,.515,35,.629,127,25,12,15,20,63,163
116,Jamal Crawford\crawfja01,SG,80,0,1653,742,.485,113,.903,99,185,40,9,95,85,822
117,Jordan Crawford\crawfjo02,SG,5,0,53,27,.593,1,1.000,4,13,1,1,5,7,33
118,Jae Crowder\crowdja01,SF,80,47,2090,671,.486,148,.818,275,99,64,21,74,187,773
118,Jae Crowder\crowdja01,SF,53,47,1346,376,.500,92,.848,173,58,41,12,42,124,454
118,Jae Crowder\crowdja01,SF,27,0,744,295,.468,56,.768,102,41,23,9,32,63,319
119,Dante Cunningham\cunnida01,SF,73,25,1562,364,.530,52,.596,298,48,39,30,33,111,417
119,Dante Cunningham\cunnida01,SF,51,24,1115,225,.518,36,.556,193,26,27,16,16,75,253
119,Dante Cunningham\cunnida01,SF,22,1,447,139,.550,16,.688,105,22,12,14,17,36,164
120,Stephen Curry\curryst01,PG,51,51,1631,864,.618,302,.921,261,310,80,8,153,114,1346
121,Troy Daniels\danietr01,SG,79,15,1622,575,.563,64,.875,127,48,26,5,56,137,703
122,Anthony Davis\davisan02,PF,75,75,2727,1462,.552,598,.828,832,174,115,193,162,159,2110
123,Deyonta Davis\davisde01,C,62,6,943,265,.608,57,.667,250,40,15,39,32,125,360
124,Ed Davis\davised01,C,78,0,1471,292,.582,111,.667,575,40,32,52,66,188,414
125,Dewayne Dedmon\dedmode01,C,62,46,1542,477,.577,86,.779,489,90,40,51,86,162,617
126,Sam Dekker\dekkesa01,PF,73,1,883,259,.514,56,.661,174,38,24,9,33,71,303
127,Malcolm Delaney\delanma01,PG,54,3,1014,285,.463,92,.804,100,163,35,6,66,82,338
128,Matthew Dellavedova\dellama01,PG,38,3,712,152,.457,27,.926,64,145,14,0,49,67,164
129,Luol Deng\denglu01,SF,1,1,13,2,.500,0,,0,1,1,0,1,0,2
130,DeMar DeRozan\derozde01,SG,80,80,2711,1413,.488,559,.825,315,417,85,22,175,151,1840
131,Cheick Diallo\diallch01,PF,52,0,581,176,.580,66,.758,211,19,11,21,28,82,254
132,Gorgui Dieng\dienggo01,C,79,0,1333,388,.504,102,.775,360,71,45,39,59,147,470
133,Spencer Dinwiddie\dinwisp01,PG,80,58,2306,838,.471,268,.813,259,524,68,23,128,186,1007
134,Tyler Dorsey\dorsety01,SG,56,5,974,382,.471,63,.714,130,79,17,5,37,63,405
