"Rank,""Country"",""2018 Population"",""2017 Population"",""Growth Rate"",""Area"",""2018 Density"""
"1,""China"",1415045.928,1409517.3969999999,1.0039222864590158,9706961,145.77641014525557"
"2,""India"",1354051.854,1339180.127,1.011105098336036,3287590,411.86761548733267"
"3,""United States"",326766.748,324459.463,1.0071111656866671,9372610,34.8640077843845"
"4,""Indonesia"",266794.98,263991.37899999996,1.010620047558447,1904569,140.08155125910375"
"5,""Brazil"",210867.954,209288.27800000002,1.007547847471897,8515767,24.762062419039882"
"6,""Pakistan"",200813.818,197015.955,1.0192769311500687,881912,227.70278440479322"
"7,""Nigeria"",195875.237,190886.31100000002,1.0261355881093013,923768,212.0394265659776"
"8,""Bangladesh"",166368.149,164669.751,1.0103139647062442,147570,1127.3846242461204"
"9,""Russia"",143964.709,143989.75400000002,0.9998260640128601,17098242,8.419854450533569"
"10,""Mexico"",130759.07400000001,129163.276,1.0123548894811247,1964375,66.56523016226537"
"11,""Japan"",127185.332,127484.45,0.9976536903128185,377930,336.5314529145609"
"12,""Ethiopia"",107534.882,104957.43800000001,1.0245570399689061,1104300,97.37832291949651"
"13,""Philippines"",106512.07400000001,104918.09,1.0151926517152572,342353,311.1176884677512"
"14,""Egypt"",99375.741,97553.151,1.0186830459223197,1002450,99.13286547957505"
"15,""Vietnam"",96491.146,95540.8,1.0099470173998961,331212,291.32744586548796"
"16,""DR Congo"",84004.989,81339.988,1.032763725020466,2344858,35.825192399710346"
"17,""Germany"",82293.457,82114.224,1.0021827278060862,357114,230.44029917617343"
"18,""Iran"",82011.735,81162.788,1.0104598057917873,1648195,49.75851461750582"
"19,""Turkey"",81916.871,80745.02,1.0145129817293994,783562,104.54421092396007"
"20,""Thailand"",69183.173,69037.51299999999,1.0021098674281619,513120,134.8284475366386"
"21,""United Kingdom"",66573.504,66181.585,1.005921873886822,242900,274.0778262659531"
"22,""France"",65233.27099999999,64979.547999999995,1.003904659355279,551695,118.24154831927059"
"23,""Italy"",59290.969000000005,59359.9,0.9988387615208247,301336,196.76032402368122"
"24,""Tanzania"",59091.392,57310.019,1.031083099100002,945087,62.52481729195301"
"25,""South Africa"",57398.420999999995,56717.155999999995,1.0120116213161323,1221037,47.00792932564696"
"26,""Myanmar"",53855.735,53370.609000000004,1.0090897594966548,676578,79.60018652690451"
"27,""South Korea"",51164.435,50982.212,1.0035742466411617,100210,510.57214848817483"
"28,""Kenya"",50950.879,49699.862,1.0251714381017798,580367,87.79079272253591"
"29,""Colombia"",49464.683,49065.615,1.0081333536734431,1141748,43.32364322074574"
"30,""Spain"",46397.452000000005,46354.320999999996,1.0009304634189338,505992,91.69601890938989"
"31,""Argentina"",44688.864,44271.041,1.0094378399640525,2780400,16.07281829952525"
"32,""Uganda"",44270.562999999995,42862.958,1.0328396607625632,241550,183.2770151107431"
"33,""Ukraine"",44009.21400000001,44222.947,0.9951669209200374,603500,72.92330405965204"
"34,""Algeria"",42008.054000000004,41318.142,1.01669755624539,2381741,17.63754077374492"
